TotalAmount,CustomerID,Country,CountryRegionCode,Group,PersonID,PersonType,DateFirstPurchase,BirthDate,AGE,MaritalStatus,YearlyIncome,Gender,TotalChildren,Education,Occupation,HomeOwnerFlag,NumberCarsOwned
2371.960000,11021,Northwest,US,"North America",11489,IN,"2003-07-27 00:00:00.000000","1978-09-03 00:00:00.000000",47,S,25001-50000,F,0,"Partial College","Skilled Manual",0,1
2322.280000,11022,Northwest,US,"North America",6522,IN,"2003-07-24 00:00:00.000000","1978-10-12 00:00:00.000000",47,M,25001-50000,M,0,"Partial College","Skilled Manual",1,1
122.240000,11023,Southwest,US,"North America",4373,IN,"2003-08-21 00:00:00.000000","1978-10-11 00:00:00.000000",47,M,25001-50000,M,0,"Partial College","Skilled Manual",1,1
56.510000,11024,Southwest,US,"North America",16843,IN,"2003-12-29 00:00:00.000000","1978-09-17 00:00:00.000000",47,M,50001-75000,M,0,"Partial College","Skilled Manual",1,2
6576.800000,11025,Australia,AU,Pacific,12565,IN,"2001-07-09 00:00:00.000000","1945-12-23 00:00:00.000000",80,M,0-25000,M,2,"Partial High School",Clerical,1,2
6575.790000,11026,Australia,AU,Pacific,2857,IN,"2001-07-26 00:00:00.000000","1946-04-03 00:00:00.000000",79,S,25001-50000,M,2,"Partial College",Clerical,0,2
6591.570000,11027,Australia,AU,Pacific,5526,IN,"2001-07-19 00:00:00.000000","1946-12-07 00:00:00.000000",79,M,25001-50000,M,2,"Partial College",Clerical,1,2
6474.620000,11028,Australia,AU,Pacific,15088,IN,"2001-07-29 00:00:00.000000","1946-04-11 00:00:00.000000",79,M,25001-50000,F,2,"Partial College",Clerical,1,2
6565.290000,11029,Australia,AU,Pacific,15638,IN,"2001-07-22 00:00:00.000000","1946-12-21 00:00:00.000000",79,M,25001-50000,M,2,"Partial College",Clerical,1,2
6471.320000,11030,Australia,AU,Pacific,17272,IN,"2001-08-08 00:00:00.000000","1947-02-22 00:00:00.000000",78,M,0-25000,F,2,"Partial High School",Clerical,1,2
6478.600000,11031,Australia,AU,Pacific,13917,IN,"2001-08-04 00:00:00.000000","1947-08-22 00:00:00.000000",78,M,0-25000,F,4,"High School","Skilled Manual",1,2
6525.560000,11032,Australia,AU,Pacific,16240,IN,"2001-08-21 00:00:00.000000","1947-06-11 00:00:00.000000",78,M,0-25000,F,4,"High School","Skilled Manual",1,2
6495.290000,11033,Australia,AU,Pacific,9475,IN,"2001-08-18 00:00:00.000000","1947-09-23 00:00:00.000000",78,M,0-25000,M,4,"High School","Skilled Manual",1,2
6491.320000,11034,Australia,AU,Pacific,9657,IN,"2001-08-04 00:00:00.000000","1947-06-19 00:00:00.000000",78,M,0-25000,F,4,"High School","Skilled Manual",1,2
6451.310000,11035,Australia,AU,Pacific,13948,IN,"2001-08-09 00:00:00.000000","1948-02-24 00:00:00.000000",77,M,0-25000,F,2,"Partial High School",Clerical,1,2
2354.980000,11036,Southwest,US,"North America",20539,IN,"2003-07-26 00:00:00.000000","1978-12-18 00:00:00.000000",47,M,50001-75000,F,0,"Partial College","Skilled Manual",1,2
2374.230000,11037,Canada,CA,"North America",11014,IN,"2003-07-24 00:00:00.000000","1977-11-27 00:00:00.000000",48,S,25001-50000,F,0,"Partial High School",Clerical,0,2
6437.330000,11038,Australia,AU,Pacific,18643,IN,"2001-08-10 00:00:00.000000","1948-03-23 00:00:00.000000",77,M,0-25000,F,2,"Partial High School",Clerical,1,2
6636.580000,11039,Australia,AU,Pacific,15676,IN,"2001-08-10 00:00:00.000000","1948-12-17 00:00:00.000000",77,M,25001-50000,M,3,"Partial College",Clerical,1,2
2350.960000,11040,Northwest,US,"North America",15080,IN,"2003-10-05 00:00:00.000000","1977-08-01 00:00:00.000000",48,M,25001-50000,M,0,"Partial College","Skilled Manual",1,2
2380.470000,11041,Southwest,US,"North America",9940,IN,"2003-07-18 00:00:00.000000","1977-10-16 00:00:00.000000",48,M,50001-75000,F,0,"Partial College","Skilled Manual",1,2
3112.330000,11042,Southwest,US,"North America",19075,IN,"2003-07-25 00:00:00.000000","1977-06-13 00:00:00.000000",48,M,50001-75000,F,0,"Partial College","Skilled Manual",1,2
47.980000,11043,Southwest,US,"North America",5960,IN,"2003-11-09 00:00:00.000000","1976-02-24 00:00:00.000000",49,M,50001-75000,M,0,"Partial College","Skilled Manual",1,2
6515.300000,11044,Australia,AU,Pacific,5244,IN,"2001-08-31 00:00:00.000000","1949-05-24 00:00:00.000000",76,M,0-25000,M,2,"Partial High School",Clerical,1,2
114.960000,11045,Australia,AU,Pacific,5225,IN,"2003-10-12 00:00:00.000000","1950-05-19 00:00:00.000000",75,S,25001-50000,M,3,"High School","Skilled Manual",0,2
6616.810000,11046,Australia,AU,Pacific,19870,IN,"2001-08-09 00:00:00.000000","1950-03-22 00:00:00.000000",75,M,25001-50000,F,3,"High School","Skilled Manual",1,2
6582.330000,11047,Australia,AU,Pacific,12928,IN,"2001-08-06 00:00:00.000000","1950-02-27 00:00:00.000000",75,M,25001-50000,F,3,"High School","Skilled Manual",0,2
6498.240000,11048,Australia,AU,Pacific,13513,IN,"2001-08-13 00:00:00.000000","1950-11-22 00:00:00.000000",75,M,25001-50000,M,3,"High School","Skilled Manual",1,2
81.260000,11049,Southwest,US,"North America",8749,IN,"2003-09-10 00:00:00.000000","1980-07-18 00:00:00.000000",45,S,25001-50000,F,0,"Partial High School",Clerical,1,2
5007.300000,11050,Australia,AU,Pacific,17337,IN,"2001-08-23 00:00:00.000000","1951-09-07 00:00:00.000000",74,M,25001-50000,M,3,"High School","Skilled Manual",1,2
123.950000,11051,Australia,AU,Pacific,18655,IN,"2004-07-01 00:00:00.000000","1951-08-04 00:00:00.000000",74,S,25001-50000,M,3,"High School","Skilled Manual",0,2
8131.320000,11052,Australia,AU,Pacific,15276,IN,"2001-08-20 00:00:00.000000","1951-08-07 00:00:00.000000",74,S,25001-50000,F,2,"Partial College",Clerical,0,2
2329.980000,11053,Southwest,US,"North America",7430,IN,"2003-07-21 00:00:00.000000","1980-08-20 00:00:00.000000",45,M,50001-75000,F,0,"Partial College","Skilled Manual",0,2
8223.020000,11054,Australia,AU,Pacific,9790,IN,"2001-08-06 00:00:00.000000","1952-03-10 00:00:00.000000",73,M,25001-50000,F,2,"Partial College","Skilled Manual",1,2
8168.010000,11055,Australia,AU,Pacific,9489,IN,"2001-08-03 00:00:00.000000","1952-03-05 00:00:00.000000",73,M,25001-50000,M,2,"Partial College","Skilled Manual",1,2
8207.500000,11056,Australia,AU,Pacific,8428,IN,"2001-08-29 00:00:00.000000","1953-04-03 00:00:00.000000",72,M,25001-50000,F,3,"Partial College","Skilled Manual",1,2
8088.040000,11057,Australia,AU,Pacific,16962,IN,"2001-08-25 00:00:00.000000","1953-10-12 00:00:00.000000",72,M,50001-75000,M,2,"Graduate Degree",Management,1,2
8248.020000,11058,Australia,AU,Pacific,15681,IN,"2001-09-09 00:00:00.000000","1954-04-27 00:00:00.000000",71,M,75001-100000,M,2,"Partial College","Skilled Manual",1,2
116.930000,11059,Australia,AU,Pacific,8960,IN,"2003-08-22 00:00:00.000000","1954-04-01 00:00:00.000000",71,S,75001-100000,F,2,"Partial College","Skilled Manual",1,2
8153.020000,11060,Australia,AU,Pacific,13542,IN,"2001-09-19 00:00:00.000000","1954-03-17 00:00:00.000000",71,M,75001-100000,M,2,"Partial College","Skilled Manual",1,2
8129.020000,11061,Australia,AU,Pacific,18220,IN,"2001-09-13 00:00:00.000000","1954-02-27 00:00:00.000000",71,M,75001-100000,M,2,"Partial College","Skilled Manual",1,2
2351.960000,11062,Northwest,US,"North America",6096,IN,"2003-07-11 00:00:00.000000","1975-09-02 00:00:00.000000",50,M,25001-50000,M,0,"High School","Skilled Manual",1,2
2372.950000,11063,Northwest,US,"North America",8821,IN,"2003-07-16 00:00:00.000000","1975-04-07 00:00:00.000000",50,S,25001-50000,F,0,"High School","Skilled Manual",1,2
2304.980000,11064,Southwest,US,"North America",15436,IN,"2003-07-29 00:00:00.000000","1975-12-07 00:00:00.000000",50,M,25001-50000,M,0,"High School","Skilled Manual",1,2
202.570000,11065,Southwest,US,"North America",3510,IN,"2003-08-14 00:00:00.000000","1973-10-09 00:00:00.000000",52,M,50001-75000,F,0,"Partial College","Skilled Manual",0,2
81.260000,11066,Northwest,US,"North America",19662,IN,"2003-12-02 00:00:00.000000","1973-11-27 00:00:00.000000",52,M,50001-75000,F,0,"Partial College",Professional,1,2
105.750000,11067,Northwest,US,"North America",16424,IN,"2004-02-19 00:00:00.000000","1976-09-25 00:00:00.000000",49,S,50001-75000,M,0,"Partial College",Professional,1,2
113.360000,11068,Australia,AU,Pacific,2676,IN,"2003-11-01 00:00:00.000000","1955-09-23 00:00:00.000000",70,S,75001-100000,F,2,"High School","Skilled Manual",1,2
8104.050000,11069,Australia,AU,Pacific,10008,IN,"2001-10-18 00:00:00.000000","1955-09-21 00:00:00.000000",70,S,75001-100000,F,2,"High School","Skilled Manual",0,2
8165.550000,11070,Australia,AU,Pacific,13417,IN,"2001-10-29 00:00:00.000000","1955-04-05 00:00:00.000000",70,M,75001-100000,M,2,"High School","Skilled Manual",1,2
110.230000,11071,Australia,AU,Pacific,13827,IN,"2003-09-02 00:00:00.000000","1955-06-26 00:00:00.000000",70,S,75001-100000,F,2,"High School","Skilled Manual",1,2
8194.000000,11072,Australia,AU,Pacific,16284,IN,"2001-10-01 00:00:00.000000","1955-02-06 00:00:00.000000",70,S,75001-100000,F,2,"High School","Skilled Manual",0,2
191.900000,11073,Australia,AU,Pacific,20712,IN,"2003-09-24 00:00:00.000000","1956-08-14 00:00:00.000000",69,S,50001-75000,F,2,"High School","Skilled Manual",1,2
94.190000,11074,Australia,AU,Pacific,7914,IN,"2003-09-24 00:00:00.000000","1956-08-28 00:00:00.000000",69,S,50001-75000,M,2,"High School","Skilled Manual",1,2
8068.030000,11075,Australia,AU,Pacific,14267,IN,"2001-10-29 00:00:00.000000","1957-11-16 00:00:00.000000",68,S,75001-100000,F,2,"High School",Professional,1,2
8159.040000,11076,Australia,AU,Pacific,4157,IN,"2001-10-22 00:00:00.000000","1957-07-13 00:00:00.000000",68,S,75001-100000,M,2,"High School",Professional,1,2
8169.030000,11077,Australia,AU,Pacific,17455,IN,"2001-10-16 00:00:00.000000","1957-09-19 00:00:00.000000",68,S,75001-100000,F,2,"High School",Professional,0,2
913.270000,11078,Canada,CA,"North America",15039,IN,"2003-08-19 00:00:00.000000","1974-01-10 00:00:00.000000",52,S,25001-50000,F,0,"High School",Professional,0,2
57.950000,11079,Australia,AU,Pacific,20058,IN,"2003-09-16 00:00:00.000000","1959-03-11 00:00:00.000000",66,S,"greater than 100000",M,0,"Graduate Degree",Management,1,2
8204.020000,11080,Australia,AU,Pacific,14268,IN,"2001-10-11 00:00:00.000000","1959-07-17 00:00:00.000000",66,M,"greater than 100000",M,0,"Graduate Degree",Management,1,2
104.260000,11081,Southwest,US,"North America",10369,IN,"2003-08-16 00:00:00.000000","1966-07-24 00:00:00.000000",59,M,"greater than 100000",F,2,"Bachelors ",Management,1,3
3110.810000,11082,Southwest,US,"North America",7672,IN,"2003-07-26 00:00:00.000000","1966-08-04 00:00:00.000000",59,S,"greater than 100000",F,0,"Graduate Degree",Management,0,3
3137.320000,11083,Southwest,US,"North America",20135,IN,"2003-07-10 00:00:00.000000","1966-03-15 00:00:00.000000",59,M,"greater than 100000",F,0,"Graduate Degree",Management,1,3
3078.610000,11084,Northwest,US,"North America",4281,IN,"2003-07-08 00:00:00.000000","1957-09-12 00:00:00.000000",68,S,75001-100000,M,2,"Partial High School","Skilled Manual",0,2
128.960000,11085,Southwest,US,"North America",12219,IN,"2004-06-08 00:00:00.000000","1957-07-19 00:00:00.000000",68,S,50001-75000,F,2,"High School",Professional,0,2
153.450000,11086,Southwest,US,"North America",17979,IN,"2004-01-03 00:00:00.000000","1957-12-23 00:00:00.000000",68,M,50001-75000,M,2,"Partial College",Professional,1,0
200.280000,11087,Southwest,US,"North America",11871,IN,"2003-08-29 00:00:00.000000","1957-10-03 00:00:00.000000",68,M,50001-75000,F,3,"Partial College",Professional,0,0
3176.780000,11088,Southwest,US,"North America",17897,IN,"2003-07-17 00:00:00.000000","1957-11-25 00:00:00.000000",68,M,75001-100000,M,2,"Bachelors ",Management,1,0
3188.280000,11089,Southwest,US,"North America",3950,IN,"2003-07-02 00:00:00.000000","1957-02-05 00:00:00.000000",68,S,75001-100000,F,2,"Bachelors ",Management,1,1
6704.080000,11090,Southwest,US,"North America",12846,IN,"2002-02-07 00:00:00.000000","1957-12-17 00:00:00.000000",68,S,75001-100000,M,2,"Partial College",Professional,1,1
1189.330000,11091,Canada,CA,"North America",4515,IN,"2003-08-02 00:00:00.000000","1957-04-04 00:00:00.000000",68,M,75001-100000,M,2,"Partial College",Professional,1,1
8110.020000,11092,Australia,AU,Pacific,6174,IN,"2001-10-09 00:00:00.000000","1967-05-06 00:00:00.000000",58,M,75001-100000,F,2,"Bachelors ",Professional,1,0
8180.000000,11093,Australia,AU,Pacific,5827,IN,"2001-10-08 00:00:00.000000","1967-09-10 00:00:00.000000",58,M,75001-100000,F,0,"Graduate Degree",Management,1,0
235.890000,11094,Australia,AU,Pacific,3504,IN,"2003-10-09 00:00:00.000000","1962-04-01 00:00:00.000000",63,S,50001-75000,M,1,"Partial College","Skilled Manual",0,1
8158.010000,11095,Australia,AU,Pacific,20332,IN,"2001-10-02 00:00:00.000000","1962-09-01 00:00:00.000000",63,S,50001-75000,M,1,"Partial College","Skilled Manual",1,1
8063.040000,11096,Australia,AU,Pacific,5114,IN,"2001-10-12 00:00:00.000000","1962-08-10 00:00:00.000000",63,M,50001-75000,M,1,"Bachelors ",Professional,1,1
8099.030000,11097,Australia,AU,Pacific,13205,IN,"2001-10-05 00:00:00.000000","1961-10-27 00:00:00.000000",64,M,50001-75000,M,1,"Partial College","Skilled Manual",1,1
88.960000,11098,Australia,AU,Pacific,5986,IN,"2003-08-15 00:00:00.000000","1961-05-01 00:00:00.000000",64,S,50001-75000,F,1,"Partial College","Skilled Manual",0,1
8215.990000,11099,Australia,AU,Pacific,5231,IN,"2001-10-08 00:00:00.000000","1961-03-08 00:00:00.000000",64,M,50001-75000,M,1,"Bachelors ",Professional,1,1
8172.510000,11100,Australia,AU,Pacific,6138,IN,"2001-10-17 00:00:00.000000","1960-09-15 00:00:00.000000",65,S,50001-75000,F,1,"Partial College","Skilled Manual",1,1
8262.520000,11101,Australia,AU,Pacific,17810,IN,"2001-10-30 00:00:00.000000","1965-05-08 00:00:00.000000",60,S,50001-75000,F,0,"Bachelors ",Professional,0,1
102.910000,11102,Australia,AU,Pacific,9866,IN,"2004-01-17 00:00:00.000000","1965-04-21 00:00:00.000000",60,S,75001-100000,F,5,"Bachelors ",Professional,1,4
8182.500000,11103,Australia,AU,Pacific,8905,IN,"2001-10-16 00:00:00.000000","1964-10-17 00:00:00.000000",61,S,50001-75000,F,0,"Bachelors ",Professional,1,1
8173.030000,11104,Australia,AU,Pacific,8139,IN,"2001-11-04 00:00:00.000000","1964-03-11 00:00:00.000000",61,M,50001-75000,M,0,"Bachelors ",Professional,0,1
8095.990000,11105,Australia,AU,Pacific,15430,IN,"2001-11-14 00:00:00.000000","1964-12-28 00:00:00.000000",61,S,50001-75000,F,0,"Bachelors ",Professional,0,1
8079.050000,11106,Australia,AU,Pacific,5510,IN,"2001-11-18 00:00:00.000000","1964-09-11 00:00:00.000000",61,S,50001-75000,M,0,"Bachelors ",Professional,0,1
8171.010000,11107,Australia,AU,Pacific,4781,IN,"2001-11-01 00:00:00.000000","1959-09-09 00:00:00.000000",66,M,75001-100000,F,1,"Bachelors ",Professional,1,1
8124.040000,11108,Australia,AU,Pacific,10536,IN,"2001-11-03 00:00:00.000000","1963-07-14 00:00:00.000000",62,S,50001-75000,F,0,"Bachelors ",Professional,0,2
8245.010000,11109,Australia,AU,Pacific,11186,IN,"2001-11-10 00:00:00.000000","1963-11-05 00:00:00.000000",62,S,50001-75000,M,0,"Bachelors ",Professional,0,2
8093.030000,11110,Australia,AU,Pacific,18247,IN,"2001-11-01 00:00:00.000000","1962-06-06 00:00:00.000000",63,M,50001-75000,M,1,"Partial College","Skilled Manual",1,1
8137.000000,11111,Australia,AU,Pacific,10647,IN,"2001-11-20 00:00:00.000000","1962-02-23 00:00:00.000000",63,M,50001-75000,F,1,"Partial College","Skilled Manual",1,1
8295.020000,11112,Australia,AU,Pacific,20739,IN,"2001-11-25 00:00:00.000000","1962-09-09 00:00:00.000000",63,M,50001-75000,F,1,"Partial College","Skilled Manual",1,1
109.880000,11113,Australia,AU,Pacific,14592,IN,"2003-08-05 00:00:00.000000","1962-02-21 00:00:00.000000",63,M,50001-75000,M,5,"Bachelors ",Professional,1,2
122.890000,11114,Australia,AU,Pacific,18519,IN,"2003-09-19 00:00:00.000000","1962-05-28 00:00:00.000000",63,S,50001-75000,F,5,"Partial College","Skilled Manual",1,2
113.710000,11115,Australia,AU,Pacific,4765,IN,"2003-08-14 00:00:00.000000","1962-02-12 00:00:00.000000",63,M,50001-75000,M,5,"Partial College","Skilled Manual",1,2
148.700000,11116,Australia,AU,Pacific,14638,IN,"2003-09-16 00:00:00.000000","1962-10-07 00:00:00.000000",63,M,50001-75000,M,5,"Partial College","Skilled Manual",1,2
8184.990000,11117,Australia,AU,Pacific,20526,IN,"2001-11-06 00:00:00.000000","1961-02-21 00:00:00.000000",64,M,50001-75000,F,5,"Partial College","Skilled Manual",1,3
123.800000,11118,Australia,AU,Pacific,4788,IN,"2004-01-11 00:00:00.000000","1957-07-03 00:00:00.000000",68,S,75001-100000,M,1,"Partial College","Skilled Manual",0,1
85.220000,11119,Australia,AU,Pacific,14595,IN,"2003-08-07 00:00:00.000000","1935-04-10 00:00:00.000000",90,S,25001-50000,M,2,"Partial College",Clerical,0,2
8242.490000,11120,Australia,AU,Pacific,6073,IN,"2001-11-14 00:00:00.000000","1936-08-09 00:00:00.000000",89,S,25001-50000,F,2,"Bachelors ",Management,1,1
58.160000,11121,Australia,AU,Pacific,19001,IN,"2003-12-26 00:00:00.000000","1960-11-18 00:00:00.000000",65,M,50001-75000,M,5,"Partial College","Skilled Manual",1,3
42.930000,11122,Australia,AU,Pacific,19748,IN,"2003-08-25 00:00:00.000000","1960-04-02 00:00:00.000000",65,M,50001-75000,M,5,"Partial College","Skilled Manual",1,3
149.840000,11123,Australia,AU,Pacific,19185,IN,"2003-10-19 00:00:00.000000","1960-06-20 00:00:00.000000",65,M,50001-75000,M,5,"Partial College","Skilled Manual",1,3
8129.020000,11124,Australia,AU,Pacific,11743,IN,"2001-11-05 00:00:00.000000","1957-07-27 00:00:00.000000",68,S,75001-100000,M,1,"Partial College","Skilled Manual",1,1
79.690000,11125,Australia,AU,Pacific,17820,IN,"2003-08-04 00:00:00.000000","1956-04-08 00:00:00.000000",69,S,50001-75000,F,1,"Partial College","Skilled Manual",1,1
4972.370000,11126,Australia,AU,Pacific,17105,IN,"2001-11-28 00:00:00.000000","1949-04-07 00:00:00.000000",76,M,0-25000,M,2,"High School","Skilled Manual",0,2
43.980000,11127,Southwest,US,"North America",9367,IN,"2003-10-12 00:00:00.000000","1975-10-21 00:00:00.000000",50,M,25001-50000,F,0,"High School","Skilled Manual",1,1
143.940000,11128,Northwest,US,"North America",12533,IN,"2003-12-21 00:00:00.000000","1975-12-05 00:00:00.000000",50,M,25001-50000,F,0,"High School","Skilled Manual",1,1
5873.260000,11129,Northwest,US,"North America",10538,IN,"2002-02-06 00:00:00.000000","1975-08-05 00:00:00.000000",50,S,25001-50000,F,0,"High School","Skilled Manual",1,1
37.290000,11130,Northwest,US,"North America",6801,IN,"2004-06-11 00:00:00.000000","1980-01-06 00:00:00.000000",46,M,25001-50000,F,0,"High School","Skilled Manual",1,2
165.910000,11131,Canada,CA,"North America",3003,IN,"2004-04-20 00:00:00.000000","1980-03-12 00:00:00.000000",45,M,25001-50000,F,0,"High School","Skilled Manual",0,2
2371.940000,11132,Canada,CA,"North America",8490,IN,"2003-10-11 00:00:00.000000","1980-10-26 00:00:00.000000",45,S,25001-50000,F,0,"High School","Skilled Manual",0,2
71.960000,11133,Northwest,US,"North America",7681,IN,"2004-07-02 00:00:00.000000","1980-09-08 00:00:00.000000",45,S,25001-50000,F,0,"Partial High School",Clerical,0,2
4911.830000,11134,Australia,AU,Pacific,18439,IN,"2001-11-03 00:00:00.000000","1946-02-26 00:00:00.000000",79,S,0-25000,M,5,"High School","Skilled Manual",1,2
2334.970000,11135,Southwest,US,"North America",4624,IN,"2003-10-20 00:00:00.000000","1979-11-03 00:00:00.000000",46,S,25001-50000,M,0,"Partial High School",Clerical,0,2
2380.470000,11136,Canada,CA,"North America",19196,IN,"2003-07-07 00:00:00.000000","1978-10-26 00:00:00.000000",47,S,25001-50000,F,0,"High School","Skilled Manual",0,2
202.570000,11137,Northwest,US,"North America",11395,IN,"2004-02-01 00:00:00.000000","1978-07-20 00:00:00.000000",47,M,25001-50000,F,0,"High School","Skilled Manual",1,2
78.970000,11138,Southwest,US,"North America",11623,IN,"2004-03-22 00:00:00.000000","1978-09-15 00:00:00.000000",47,M,25001-50000,F,0,"High School","Skilled Manual",0,2
83.970000,11139,Australia,AU,Pacific,14017,IN,"2004-03-17 00:00:00.000000","1938-11-09 00:00:00.000000",87,S,25001-50000,F,2,"Partial College",Clerical,0,2
39.990000,11140,Southwest,US,"North America",13623,IN,"2003-09-20 00:00:00.000000","1977-02-11 00:00:00.000000",48,S,25001-50000,M,0,"Partial High School",Clerical,0,2
113.960000,11141,Southwest,US,"North America",19930,IN,"2003-11-17 00:00:00.000000","1977-06-21 00:00:00.000000",48,M,25001-50000,F,0,"High School","Skilled Manual",0,2
980.770000,11142,Canada,CA,"North America",13742,IN,"2003-08-17 00:00:00.000000","1977-08-14 00:00:00.000000",48,S,25001-50000,M,0,"High School","Skilled Manual",0,2
48.560000,11143,Southwest,US,"North America",6401,IN,"2003-12-17 00:00:00.000000","1977-02-04 00:00:00.000000",48,M,25001-50000,M,0,"High School","Skilled Manual",1,2
2399.970000,11144,Northwest,US,"North America",4268,IN,"2003-07-29 00:00:00.000000","1979-09-09 00:00:00.000000",46,S,25001-50000,M,0,"High School","Skilled Manual",0,2
2309.970000,11145,Northwest,US,"North America",19848,IN,"2003-07-29 00:00:00.000000","1979-12-08 00:00:00.000000",46,S,25001-50000,F,0,"High School","Skilled Manual",0,2
112.930000,11146,Australia,AU,Pacific,3532,IN,"2003-08-09 00:00:00.000000","1939-08-26 00:00:00.000000",86,S,25001-50000,F,2,"Bachelors ",Management,1,2
8195.500000,11147,Australia,AU,Pacific,6463,IN,"2001-11-13 00:00:00.000000","1939-02-05 00:00:00.000000",86,M,50001-75000,M,2,"Graduate Degree",Management,1,1
126.240000,11148,Australia,AU,Pacific,11820,IN,"2003-09-08 00:00:00.000000","1941-08-16 00:00:00.000000",84,M,25001-50000,M,2,"Bachelors ",Management,1,2
41.260000,11149,Australia,AU,Pacific,6747,IN,"2003-12-06 00:00:00.000000","1941-04-20 00:00:00.000000",84,M,25001-50000,M,2,"Bachelors ",Management,1,2
192.420000,11150,Australia,AU,Pacific,16842,IN,"2003-09-28 00:00:00.000000","1941-03-15 00:00:00.000000",84,S,25001-50000,M,2,"Bachelors ",Management,1,2
8087.310000,11151,Australia,AU,Pacific,14076,IN,"2001-11-15 00:00:00.000000","1942-02-25 00:00:00.000000",83,S,50001-75000,F,2,"Graduate Degree",Management,0,1
2294.990000,11152,Northwest,US,"North America",17585,IN,"2003-07-13 00:00:00.000000","1976-01-10 00:00:00.000000",50,S,25001-50000,M,0,"High School","Skilled Manual",1,2
